Dex No.,Name,Forme,Classification,Generation,Primary Type,Secondary Type,Ability 1,Ability 2,Hidden Ability,Gender,Male Gender Ratio,Female Gender Ratio,Catch Rate,Egg Group 1,Egg Group 2,Hatch Time Cycles,Height (In),Height (M),Weight (Lbs),Weight (Kg),Mega Stone 1,Mega Stone 2,EXP Yield (Gen I),EXP Yield (Gen II),EXP Yield (Gen III),EXP Yield (Gen IV),EXP Yield (Gen V+),Leveling Rate,EV Yield (HP),EV Yield (Attack),EV Yield (Defense),EV Yield (Sp.Atk),EV Yield (Sp.Def),EV Yield (Speed),Shape Img URL,Footprint Img Url,Base Friendship,Base HP,Base Attack,Base Defense,Base Special Attack,Base Special Defense,Base Speed,Base Stat Total,Color
150,Mewtwo,,Genetic,1,Psychic,,Pressure,,Unnerve,N,,,3,,,120,79,2.0,269.0,122.0,Mewtwonite X,Mewtwonite Y,220,220,220,220,306,Slow,0,0,0,3,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/2/2f/F0150.png,0,106|106|106|106|106|106|106|106|106,110|110|110|110|110|110|110|110|110,90|90|90|90|90|90|90|90|90,154|154|154|154|154|154|154|154|154,90|90|90|90|90|90|90|90|90,130|130|130|130|130|130|130|130|130,680|680|680|680|680|680|680|680|680,Purple
150,Mewtwo,Mega Mewtwo X,Genetic,6,Psychic,Fighting,Steadfast,,,N,,,3,,,120,91,2.3,280.0,127.0,Mewtwonite X,Mewtwonite Y,220,220,220,220,306,Slow,0,0,0,3,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/2/2f/F0150.png,0,|||||106|106|106|106,|||||190|190|190|190,|||||100|100|100|100,|||||154|154|154|154,|||||100|100|100|100,|||||130|130|130|130,|||||780|780|780|780,Purple
150,Mewtwo,Mega Mewtwo Y,Genetic,6,Psychic,,Insomnia,,,N,,,3,,,120,59,1.5,72.8,33.0,Mewtwonite X,Mewtwonite Y,220,220,220,220,306,Slow,0,0,0,3,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/2/2f/F0150.png,0,|||||106|106|106|106,|||||150|150|150|150,|||||70|70|70|70,|||||194|194|194|194,|||||120|120|120|120,|||||140|140|140|140,|||||780|780|780|780,Purple
151,Mew,,New Species,1,Psychic,,Synchronize,,,N,,,45,,,120,16,0.4,8.8,4.0,,,64,64,64,64,270,Medium Slow,3,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/a/ad/F0151.png,100,100|100|100|100|100|100|100|100|100,100|100|100|100|100|100|100|100|100,100|100|100|100|100|100|100|100|100,100|100|100|100|100|100|100|100|100,100|100|100|100|100|100|100|100|100,100|100|100|100|100|100|100|100|100,600|600|600|600|600|600|600|600|600,Pink
152,Chikorita,,Leaf,2,Grass,,Overgrow,,Leaf Guard,,0.875,0.125,45,Monster,Grass,20,35,0.9,14.1,6.4,,,,64,64,64,64,Medium Slow,0,0,0,0,1,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/b/bf/F0152.png,70,|45|45|45|45|45|45|45|45,|49|49|49|49|49|49|49|49,|65|65|65|65|65|65|65|65,|49|49|49|49|49|49|49|49,|65|65|65|65|65|65|65|65,|45|45|45|45|45|45|45|45,|318|318|318|318|318|318|318|318,Green
153,Bayleef,,Leaf,2,Grass,,Overgrow,,Leaf Guard,,0.875,0.125,45,Monster,Grass,20,47,1.2,34.8,15.8,,,,141,141,141,142,Medium Slow,0,0,1,0,1,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/5/5c/F0153.png,70,|60|60|60|60|60|60|60|60,|62|62|62|62|62|62|62|62,|80|80|80|80|80|80|80|80,|63|63|63|63|63|63|63|63,|80|80|80|80|80|80|80|80,|60|60|60|60|60|60|60|60,|405|405|405|405|405|405|405|405,Green
154,Meganium,,Herb,2,Grass,,Overgrow,,Leaf Guard,,0.875,0.125,45,Monster,Grass,20,71,1.8,221.6,100.5,,,,208,208,208,236,Medium Slow,0,0,1,0,2,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/3/37/F0154.png,70,|80|80|80|80|80|80|80|80,|82|82|82|82|82|82|82|82,|100|100|100|100|100|100|100|100,|83|83|83|83|83|83|83|83,|100|100|100|100|100|100|100|100,|80|80|80|80|80|80|80|80,|525|525|525|525|525|525|525|525,Green
155,Cyndaquil,,Fire Mouse,2,Fire,,Blaze,,Flash Fire,,0.875,0.125,45,Field,,20,20,0.5,17.4,7.9,,,,65,65,65,62,Medium Slow,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/f/f3/F0155.png,70,|39|39|39|39|39|39|39|39,|52|52|52|52|52|52|52|52,|43|43|43|43|43|43|43|43,|60|60|60|60|60|60|60|60,|50|50|50|50|50|50|50|50,|65|65|65|65|65|65|65|65,|309|309|309|309|309|309|309|309,Yellow
156,Quilava,,Volcano,2,Fire,,Blaze,,Flash Fire,,0.875,0.125,45,Field,,20,35,0.9,41.9,19.0,,,,142,142,142,142,Medium Slow,0,0,0,1,0,1,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/8/88/F0156.png,70,|58|58|58|58|58|58|58|58,|64|64|64|64|64|64|64|64,|58|58|58|58|58|58|58|58,|80|80|80|80|80|80|80|80,|65|65|65|65|65|65|65|65,|80|80|80|80|80|80|80|80,|405|405|405|405|405|405|405|405,Yellow
157,Typhlosion,,Volcano,2,Fire,,Blaze,,Flash Fire,,0.875,0.125,45,Field,,20,67,1.7,175.3,79.5,,,,209,209,209,240,Medium Slow,0,0,0,3,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/1/19/F0157.png,70,|78|78|78|78|78|78|78|78,|84|84|84|84|84|84|84|84,|78|78|78|78|78|78|78|78,|109|109|109|109|109|109|109|109,|85|85|85|85|85|85|85|85,|100|100|100|100|100|100|100|100,|534|534|534|534|534|534|534|534,Yellow
157,Typhlosion,Hisuian Typhlosion,Ghost Flame,8,Fire,Ghost,Blaze,,Frisk,,0.875,0.125,45,Field,,20,63,1.6,153.9,69.8,,,,209,209,209,240,Medium Slow,0,0,0,3,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/1/19/F0157.png,70,|||||||73|73,|||||||84|84,|||||||78|78,|||||||119|119,|||||||85|85,|||||||95|95,|||||||534|534,Yellow
158,Totodile,,Big Jaw,2,Water,,Torrent,,Sheer Force,,0.875,0.125,45,Monster,Water 1,20,24,0.6,20.9,9.5,,,,66,66,66,63,Medium Slow,0,1,0,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/f/f5/F0158.png,70,|50|50|50|50|50|50|50|50,|65|65|65|65|65|65|65|65,|64|64|64|64|64|64|64|64,|44|44|44|44|44|44|44|44,|48|48|48|48|48|48|48|48,|43|43|43|43|43|43|43|43,|314|314|314|314|314|314|314|314,Blue
159,Croconaw,,Big Jaw,2,Water,,Torrent,,Sheer Force,,0.875,0.125,45,Monster,Water 1,20,43,1.1,55.1,25.0,,,,143,143,143,142,Medium Slow,0,1,1,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/a/a7/F0159.png,70,|65|65|65|65|65|65|65|65,|80|80|80|80|80|80|80|80,|80|80|80|80|80|80|80|80,|59|59|59|59|59|59|59|59,|63|63|63|63|63|63|63|63,|58|58|58|58|58|58|58|58,|405|405|405|405|405|405|405|405,Blue
160,Feraligatr,,Big Jaw,2,Water,,Torrent,,Sheer Force,,0.875,0.125,45,Monster,Water 1,20,91,2.3,195.8,88.8,,,,210,210,210,239,Medium Slow,0,2,1,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/a/a6/F0160.png,70,|85|85|85|85|85|85|85|85,|105|105|105|105|105|105|105|105,|100|100|100|100|100|100|100|100,|79|79|79|79|79|79|79|79,|83|83|83|83|83|83|83|83,|78|78|78|78|78|78|78|78,|530|530|530|530|530|530|530|530,Blue
161,Sentret,,Scout,2,Normal,,Run Away,Keen Eye,Frisk,,0.5,0.5,255,Field,,15,31,0.8,13.2,6.0,,,,57,57,57,43,Medium Fast,0,1,0,0,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/c/c8/F0161.png,70,|35|35|35|35|35|35|35|35,|46|46|46|46|46|46|46|46,|34|34|34|34|34|34|34|34,|35|35|35|35|35|35|35|35,|45|45|45|45|45|45|45|45,|20|20|20|20|20|20|20|20,|215|215|215|215|215|215|215|215,Brown
162,Furret,,Long Body,2,Normal,,Run Away,Keen Eye,Frisk,,0.5,0.5,90,Field,,15,71,1.8,71.7,32.5,,,,116,116,116,145,Medium Fast,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/d/d5/F0162.png,70,|85|85|85|85|85|85|85|85,|76|76|76|76|76|76|76|76,|64|64|64|64|64|64|64|64,|45|45|45|45|45|45|45|45,|55|55|55|55|55|55|55|55,|90|90|90|90|90|90|90|90,|415|415|415|415|415|415|415|415,Brown
163,Hoothoot,,Owl,2,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,,0.5,0.5,255,Flying,,15,28,0.7,46.7,21.2,,,,58,58,58,52,Medium Fast,1,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/d/d7/F0163.png,70,|60|60|60|60|60|60|60|60,|30|30|30|30|30|30|30|30,|30|30|30|30|30|30|30|30,|36|36|36|36|36|36|36|36,|56|56|56|56|56|56|56|56,|50|50|50|50|50|50|50|50,|262|262|262|262|262|262|262|262,Brown
164,Noctowl,,Owl,2,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,,0.5,0.5,90,Flying,,15,63,1.6,89.9,40.8,,,,162,162,162,158,Medium Fast,2,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/6/6e/F0164.png,70,|100|100|100|100|100|100|100|100,|50|50|50|50|50|50|50|50,|50|50|50|50|50|50|50|50,|76|76|76|76|76|86|86|86,|96|96|96|96|96|96|96|96,|70|70|70|70|70|70|70|70,|442|442|442|442|442|452|452|452,Brown
165,Ledyba,,Five Star,2,Bug,Flying,Swarm,Early Bird,Rattled,,0.5,0.5,255,Bug,,15,39,1.0,23.8,10.8,,,,54,54,54,53,Fast,0,0,0,0,1,0,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/2/2b/F0165.png,70,|40|40|40|40|40|40|40|40,|20|20|20|20|20|20|20|20,|30|30|30|30|30|30|30|30,|40|40|40|40|40|40|40|40,|80|80|80|80|80|80|80|80,|55|55|55|55|55|55|55|55,|265|265|265|265|265|265|265|265,Red
166,Ledian,,Five Star,2,Bug,Flying,Swarm,Early Bird,Iron Fist,,0.5,0.5,90,Bug,,15,55,1.4,78.5,35.6,,,,134,134,134,137,Fast,0,0,0,0,2,0,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/e/ec/F0166.png,70,|55|55|55|55|55|55|55|55,|35|35|35|35|35|35|35|35,|50|50|50|50|50|50|50|50,|55|55|55|55|55|55|55|55,|110|110|110|110|110|110|110|110,|85|85|85|85|85|85|85|85,|390|390|390|390|390|390|390|390,Red
167,Spinarak,,String Spit,2,Bug,Poison,Swarm,Insomnia,Sniper,,0.5,0.5,255,Bug,,15,20,0.5,18.7,8.5,,,,54,54,54,50,Fast,0,1,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/4b/Body14.png,https://archives.bulbagarden.net/media/upload/4/40/F0167.png,70,|40|40|40|40|40|40|40|40,|60|60|60|60|60|60|60|60,|40|40|40|40|40|40|40|40,|40|40|40|40|40|40|40|40,|40|40|40|40|40|40|40|40,|30|30|30|30|30|30|30|30,|250|250|250|250|250|250|250|250,Green
168,Ariados,,Long Leg,2,Bug,Poison,Swarm,Insomnia,Sniper,,0.5,0.5,90,Bug,,15,43,1.1,73.9,33.5,,,,134,134,134,140,Fast,0,2,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/4b/Body14.png,https://archives.bulbagarden.net/media/upload/e/e2/F0168.png,70,|70|70|70|70|70|70|70|70,|90|90|90|90|90|90|90|90,|70|70|70|70|70|70|70|70,|60|60|60|60|60|60|60|60,|60|60|60|60|60|70|70|70,|40|40|40|40|40|40|40|40,|390|390|390|390|390|400|400|400,Red
169,Crobat,,Bat,2,Poison,Flying,Inner Focus,,Infiltrator,,0.5,0.5,90,Flying,,15,71,1.8,165.3,75.0,,,,204,204,204,241,Medium Fast,0,0,0,0,0,3,https://archives.bulbagarden.net/media/upload/0/09/Body13.png,https://archives.bulbagarden.net/media/upload/5/58/F0169.png,70,|85|85|85|85|85|85|85|85,|90|90|90|90|90|90|90|90,|80|80|80|80|80|80|80|80,|70|70|70|70|70|70|70|70,|80|80|80|80|80|80|80|80,|130|130|130|130|130|130|130|130,|535|535|535|535|535|535|535|535,Purple
170,Chinchou,,Angler,2,Water,Electric,Volt Absorb,Illuminate,Water Absorb,,0.5,0.5,190,Water 2,,20,20,0.5,26.5,12.0,,,,90,90,90,66,Slow,1,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/d/d3/Body03.png,https://archives.bulbagarden.net/media/upload/3/3e/F0170.png,70,|75|75|75|75|75|75|75|75,|38|38|38|38|38|38|38|38,|38|38|38|38|38|38|38|38,|56|56|56|56|56|56|56|56,|56|56|56|56|56|56|56|56,|67|67|67|67|67|67|67|67,|330|330|330|330|330|330|330|330,Blue
171,Lanturn,,Light,2,Water,Electric,Volt Absorb,Illuminate,Water Absorb,,0.5,0.5,75,Water 2,,20,47,1.2,49.6,22.5,,,,156,156,156,161,Slow,2,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/d/d3/Body03.png,https://archives.bulbagarden.net/media/upload/b/b0/F0171.png,70,|125|125|125|125|125|125|125|125,|58|58|58|58|58|58|58|58,|58|58|58|58|58|58|58|58,|76|76|76|76|76|76|76|76,|76|76|76|76|76|76|76|76,|67|67|67|67|67|67|67|67,|460|460|460|460|460|460|460|460,Blue
172,Pichu,,Tiny Mouse,2,Electric,,Static,,Lightning Rod,,0.5,0.5,190,,,10,12,0.3,4.4,2.0,,,,42,42,42,41,Medium Fast,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/f/fe/F0172.png,70,|20|20|20|20|20|20|20|20,|40|40|40|40|40|40|40|40,|15|15|15|15|15|15|15|15,|35|35|35|35|35|35|35|35,|35|35|35|35|35|35|35|35,|60|60|60|60|60|60|60|60,|205|205|205|205|205|205|205|205,Yellow
172,Pichu,Spiky-eared Pichu,Tiny Mouse,2,Electric,,Static,,Lightning Rod,,0.5,0.5,190,,,10,12,0.3,4.4,2.0,,,,42,42,42,41,Medium Fast,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/f/fe/F0172.png,70,|20|20|20|20|20|20|20|20,|40|40|40|40|40|40|40|40,|15|15|15|15|15|15|15|15,|35|35|35|35|35|35|35|35,|35|35|35|35|35|35|35|35,|60|60|60|60|60|60|60|60,|205|205|205|205|205|205|205|205,Yellow
173,Cleffa,,Star Shape,2,Fairy,,Cute Charm,Magic Guard,Friend Guard,,0.25,0.75,150,,,10,12,0.3,6.6,3.0,,,,37,37,37,44,Fast,0,0,0,0,1,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/1/15/F0173.png,140,|50|50|50|50|50|50|50|50,|25|25|25|25|25|25|25|25,|28|28|28|28|28|28|28|28,|45|45|45|45|45|45|45|45,|55|55|55|55|55|55|55|55,|15|15|15|15|15|15|15|15,|218|218|218|218|218|218|218|218,Pink
174,Igglybuff,,Balloon,2,Normal,Fairy,Cute Charm,Competitive,Friend Guard,,0.25,0.75,170,,,10,12,0.3,2.2,1.0,,,,39,39,39,42,Fast,1,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/4/46/F0174.png,70,|90|90|90|90|90|90|90|90,|30|30|30|30|30|30|30|30,|15|15|15|15|15|15|15|15,|40|40|40|40|40|40|40|40,|20|20|20|20|20|20|20|20,|15|15|15|15|15|15|15|15,|210|210|210|210|210|210|210|210,Pink
175,Togepi,,Spike Ball,2,Fairy,,Hustle,Serene Grace,Super Luck,,0.875,0.125,190,,,10,12,0.3,3.3,1.5,,,,74,74,74,49,Fast,0,0,0,0,1,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/b/b1/F0175.png,70,|35|35|35|35|35|35|35|35,|20|20|20|20|20|20|20|20,|65|65|65|65|65|65|65|65,|40|40|40|40|40|40|40|40,|65|65|65|65|65|65|65|65,|20|20|20|20|20|20|20|20,|245|245|245|245|245|245|245|245,White
176,Togetic,,Happiness,2,Fairy,Flying,Hustle,Serene Grace,Super Luck,,0.875,0.125,75,Flying,Fairy,10,24,0.6,7.1,3.2,,,,114,114,114,142,Fast,0,0,0,0,2,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/b/b3/F0176.png,70,|55|55|55|55|55|55|55|55,|40|40|40|40|40|40|40|40,|85|85|85|85|85|85|85|85,|80|80|80|80|80|80|80|80,|105|105|105|105|105|105|105|105,|40|40|40|40|40|40|40|40,|405|405|405|405|405|405|405|405,White
177,Natu,,Tiny Bird,2,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,,0.5,0.5,190,Flying,,20,8,0.2,4.4,2.0,,,,73,73,73,64,Medium Fast,0,0,0,1,0,0,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/5/57/F0177.png,70,|40|40|40|40|40|40|40|40,|50|50|50|50|50|50|50|50,|45|45|45|45|45|45|45|45,|70|70|70|70|70|70|70|70,|45|45|45|45|45|45|45|45,|70|70|70|70|70|70|70|70,|320|320|320|320|320|320|320|320,Green
178,Xatu,,Mystic,2,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,,0.5,0.5,75,Flying,,20,59,1.5,33.1,15.0,,,,171,171,171,165,Medium Fast,0,0,0,1,0,1,https://archives.bulbagarden.net/media/upload/9/98/Body09.png,https://archives.bulbagarden.net/media/upload/2/24/F0178.png,70,|65|65|65|65|65|65|65|65,|75|75|75|75|75|75|75|75,|70|70|70|70|70|70|70|70,|95|95|95|95|95|95|95|95,|70|70|70|70|70|70|70|70,|95|95|95|95|95|95|95|95,|470|470|470|470|470|470|470|470,Green
179,Mareep,,Wool,2,Electric,,Static,,Plus,,0.5,0.5,235,Monster,Field,20,24,0.6,17.2,7.8,,,,59,59,59,56,Medium Slow,0,0,0,1,0,0,https://archives.bulbagarden.net/media/upload/c/cc/Body08.png,https://archives.bulbagarden.net/media/upload/1/1f/F0179.png,70,|55|55|55|55|55|55|55|55,|40|40|40|40|40|40|40|40,|40|40|40|40|40|40|40|40,|65|65|65|65|65|65|65|65,|45|45|45|45|45|45|45|45,|35|35|35|35|35|35|35|35,|280|280|280|280|280|280|280|280,White
180,Flaaffy,,Wool,2,Electric,,Static,,Plus,,0.5,0.5,120,Monster,Field,20,31,0.8,29.3,13.3,,,,117,117,117,128,Medium Slow,0,0,0,2,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/9/96/F0180.png,70,|70|70|70|70|70|70|70|70,|55|55|55|55|55|55|55|55,|55|55|55|55|55|55|55|55,|80|80|80|80|80|80|80|80,|60|60|60|60|60|60|60|60,|45|45|45|45|45|45|45|45,|365|365|365|365|365|365|365|365,Pink
181,Ampharos,,Light,2,Electric,,Static,,Plus,,0.5,0.5,45,Monster,Field,20,55,1.4,135.6,61.5,Ampharosite,,,194,194,194,230,Medium Slow,0,0,0,3,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/0/00/F0181.png,70,|90|90|90|90|90|90|90|90,|75|75|75|75|75|75|75|75,|75|75|75|75|85|85|85|85,|115|115|115|115|115|115|115|115,|90|90|90|90|90|90|90|90,|55|55|55|55|55|55|55|55,|500|500|500|500|510|510|510|510,Yellow
181,Ampharos,Mega Ampharos,Light,6,Electric,Dragon,Mold Breaker,,,,0.5,0.5,45,Monster,Field,20,55,1.4,135.6,61.5,Ampharosite,,,194,194,194,230,Medium Slow,0,0,0,3,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/0/00/F0181.png,70,|||||90|90|90|90,|||||95|95|95|95,|||||105|105|105|105,|||||165|165|165|165,|||||110|110|110|110,|||||45|45|45|45,|||||610|610|610|610,Yellow
182,Bellossom,,Flower,2,Grass,,Chlorophyll,,Healer,,0.5,0.5,45,Grass,,20,16,0.4,12.8,5.8,,,,184,184,184,221,Medium Slow,0,0,0,0,3,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/5/5b/F0182.png,70,|75|75|75|75|75|75|75|75,|80|80|80|80|80|80|80|80,|85|85|85|85|95|95|95|95,|90|90|90|90|90|90|90|90,|100|100|100|100|100|100|100|100,|50|50|50|50|50|50|50|50,|480|480|480|480|490|490|490|490,Green
183,Marill,,Aqua Mouse,2,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,,0.5,0.5,190,Water 1,Fairy,10,16,0.4,18.7,8.5,,,,58,58,58,88,Fast,2,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/8/83/F0183.png,70,|70|70|70|70|70|70|70|70,|20|20|20|20|20|20|20|20,|50|50|50|50|50|50|50|50,|20|20|20|20|20|20|20|20,|50|50|50|50|50|50|50|50,|40|40|40|40|40|40|40|40,|250|250|250|250|250|250|250|250,Blue
184,Azumarill,,Aqua Rabbit,2,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,,0.5,0.5,75,Water 1,Fairy,10,31,0.8,62.8,28.5,,,,153,153,153,189,Fast,3,0,0,0,0,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/8/8e/F0184.png,70,|100|100|100|100|100|100|100|100,|50|50|50|50|50|50|50|50,|80|80|80|80|80|80|80|80,|50|50|50|50|60|60|60|60,|80|80|80|80|80|80|80|80,|50|50|50|50|50|50|50|50,|410|410|410|410|420|420|420|420,Blue
185,Sudowoodo,,Imitation,2,Rock,,Sturdy,Rock Head,Rattled,,0.5,0.5,65,Mineral,,20,47,1.2,83.8,38.0,,,,135,135,135,144,Medium Fast,0,0,2,0,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/a/a0/F0185.png,70,|70|70|70|70|70|70|70|70,|100|100|100|100|100|100|100|100,|115|115|115|115|115|115|115|115,|30|30|30|30|30|30|30|30,|65|65|65|65|65|65|65|65,|30|30|30|30|30|30|30|30,|410|410|410|410|410|410|410|410,Brown
186,Politoed,,Frog,2,Water,,Water Absorb,Damp,Drizzle,,0.5,0.5,45,Water 1,,20,43,1.1,74.7,33.9,,,,185,185,185,225,Medium Slow,0,0,0,0,3,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/9/9e/F0186.png,70,|90|90|90|90|90|90|90|90,|75|75|75|75|75|75|75|75,|75|75|75|75|75|75|75|75,|90|90|90|90|90|90|90|90,|100|100|100|100|100|100|100|100,|70|70|70|70|70|70|70|70,|500|500|500|500|500|500|500|500,Green
187,Hoppip,,Cottonweed,2,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,,0.5,0.5,255,Fairy,Grass,20,16,0.4,1.1,0.5,,,,74,74,74,50,Medium Slow,0,0,0,0,1,0,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/e/ec/F0187.png,70,|35|35|35|35|35|35|35|35,|35|35|35|35|35|35|35|35,|40|40|40|40|40|40|40|40,|35|35|35|35|35|35|35|35,|55|55|55|55|55|55|55|55,|50|50|50|50|50|50|50|50,|250|250|250|250|250|250|250|250,Pink
188,Skiploom,,Cottonweed,2,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,,0.5,0.5,120,Fairy,Grass,20,24,0.6,2.2,1.0,,,,136,136,136,119,Medium Slow,0,0,0,0,0,2,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/7/77/F0188.png,70,|55|55|55|55|55|55|55|55,|45|45|45|45|45|45|45|45,|50|50|50|50|50|50|50|50,|45|45|45|45|45|45|45|45,|65|65|65|65|65|65|65|65,|80|80|80|80|80|80|80|80,|340|340|340|340|340|340|340|340,Green
189,Jumpluff,,Cottonweed,2,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,,0.5,0.5,45,Fairy,Grass,20,31,0.8,6.6,3.0,,,,176,176,176,207,Medium Slow,0,0,0,0,0,3,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/6/6f/F0189.png,70,|75|75|75|75|75|75|75|75,|55|55|55|55|55|55|55|55,|70|70|70|70|70|70|70|70,|55|55|55|55|55|55|55|55,|85|85|85|85|95|95|95|95,|110|110|110|110|110|110|110|110,|450|450|450|450|460|460|460|460,Blue
190,Aipom,,Long Tail,2,Normal,,Run Away,Pickup,Skill Link,,0.5,0.5,45,Field,,20,31,0.8,25.4,11.5,,,,94,94,94,72,Fast,0,0,0,0,0,1,https://archives.bulbagarden.net/media/upload/8/88/Body06.png,https://archives.bulbagarden.net/media/upload/b/ba/F0190.png,70,|55|55|55|55|55|55|55|55,|70|70|70|70|70|70|70|70,|55|55|55|55|55|55|55|55,|40|40|40|40|40|40|40|40,|55|55|55|55|55|55|55|55,|85|85|85|85|85|85|85|85,|360|360|360|360|360|360|360|360,Purple
191,Sunkern,,Seed,2,Grass,,Chlorophyll,Solar Power,Early Bird,,0.5,0.5,235,Grass,,20,12,0.3,4.0,1.8,,,,52,52,52,36,Medium Slow,0,0,0,1,0,0,https://archives.bulbagarden.net/media/upload/1/17/Body01.png,https://archives.bulbagarden.net/media/upload/a/a3/F0191.png,70,|30|30|30|30|30|30|30|30,|30|30|30|30|30|30|30|30,|30|30|30|30|30|30|30|30,|30|30|30|30|30|30|30|30,|30|30|30|30|30|30|30|30,|30|30|30|30|30|30|30|30,|180|180|180|180|180|180|180|180,Yellow
192,Sunflora,,Sun,2,Grass,,Chlorophyll,Solar Power,Early Bird,,0.5,0.5,120,Grass,,20,31,0.8,18.7,8.5,,,,146,146,146,149,Medium Slow,0,0,0,2,0,0,https://archives.bulbagarden.net/media/upload/4/45/Body12.png,https://archives.bulbagarden.net/media/upload/f/f8/F0192.png,70,|75|75|75|75|75|75|75|75,|75|75|75|75|75|75|75|75,|55|55|55|55|55|55|55|55,|105|105|105|105|105|105|105|105,|85|85|85|85|85|85|85|85,|30|30|30|30|30|30|30|30,|425|425|425|425|425|425|425|425,Yellow
